date,category,amount,customer_id
2023-01-02,cogs,-307.13,
2023-01-02,contractor_expense,-1247.13,
2023-01-02,marketing_expense,-5289.79,
2023-01-02,office_rent,-5200,
2023-01-02,salary_expense,-27441.43,
2023-01-02,software_expense,-2597.1,
2023-01-02,subscription_revenue,1186.06,acme_corp
2023-01-02,travel_expense,-518.4,
2023-01-09,cogs,-722.09,
2023-01-09,marketing_expense,-5194.24,
2023-01-09,office_rent,-5200,
2023-01-09,salary_expense,-28729.15,
2023-01-09,software_expense,-2690.68,
2023-01-09,subscription_revenue,1190.0,acme_corp
2023-01-09,subscription_revenue,1600.96,ibm_venture
2023-01-09,travel_expense,-723.62,
2023-01-16,cogs,-1068.85,
2023-01-16,marketing_expense,-4962.01,
2023-01-16,office_rent,-5200,
2023-01-16,salary_expense,-28262.22,
2023-01-16,software_expense,-2652.3,
2023-01-16,subscription_revenue,1223.4,acme_corp
2023-01-16,subscription_revenue,1569.4,ibm_venture
2023-01-16,subscription_revenue,1139.19,megasuite_llc
2023-01-16,travel_expense,-823.35,
2023-01-23,cogs,-1317.4,
2023-01-23,marketing_expense,-5530.44,
2023-01-23,office_rent,-5200,
2023-01-23,salary_expense,-28576.54,
2023-01-23,software_expense,-2718.1,
2023-01-23,subscription_revenue,1210.73,acme_corp
2023-01-23,subscription_revenue,983.46,globaltech_corp
2023-01-23,subscription_revenue,1555.17,ibm_venture
2023-01-23,subscription_revenue,1168.3,megasuite_llc
2023-01-23,travel_expense,-630.93,
2023-01-30,cogs,-1623.65,
2023-01-30,marketing_expense,-5124.86,
2023-01-30,office_rent,-5200,
2023-01-30,salary_expense,-29015.61,
2023-01-30,software_expense,-2620.86,
2023-01-30,subscription_revenue,1210.07,acme_corp
2023-01-30,subscription_revenue,970.39,globaltech_corp
2023-01-30,subscription_revenue,1608.71,ibm_venture
2023-01-30,subscription_revenue,1148.76,megasuite_llc
2023-01-30,subscription_revenue,1303.65,microsoft_co
2023-02-06,cogs,-2021.46,
2023-02-06,marketing_expense,-5437.57,
2023-02-06,office_rent,-5200,
2023-02-06,salary_expense,-29401.08,
2023-02-06,software_expense,-2656.9,
2023-02-06,subscription_revenue,1190.15,acme_corp
2023-02-06,subscription_revenue,970.97,globaltech_corp
2023-02-06,subscription_revenue,1614.69,ibm_venture
2023-02-06,subscription_revenue,1140.16,megasuite_llc
2023-02-06,subscription_revenue,1300.02,microsoft_co
2023-02-06,subscription_revenue,1091.2,salesforce_co
2023-02-13,cogs,-2162.55,
2023-02-13,marketing_expense,-5399.14,
2023-02-13,office_rent,-5200,
2023-02-13,salary_expense,-29727.54,
2023-02-13,software_expense,-2635.89,
2023-02-13,subscription_revenue,1218.28,acme_corp
2023-02-13,subscription_revenue,966.08,globaltech_corp
2023-02-13,subscription_revenue,1561.6,ibm_venture
2023-02-13,subscription_revenue,1156.42,megasuite_llc
2023-02-13,subscription_revenue,1318.99,microsoft_co
2023-02-13,subscription_revenue,1093.0,salesforce_co
2023-02-13,subscription_revenue,412.78,techco_llc
2023-02-20,cogs,-2127.21,
2023-02-20,contractor_expense,-2427.19,
2023-02-20,marketing_expense,-5843.66,
2023-02-20,office_rent,-5200,
2023-02-20,salary_expense,-29253.54,
2023-02-20,software_expense,-2757.86,
2023-02-20,subscription_revenue,1192.16,acme_corp
2023-02-20,subscription_revenue,380.07,bigcorp_inc
2023-02-20,subscription_revenue,989.09,globaltech_corp
2023-02-20,subscription_revenue,1588.61,ibm_venture
2023-02-20,subscription_revenue,1166.39,megasuite_llc
2023-02-20,subscription_revenue,1319.92,microsoft_co
2023-02-20,subscription_revenue,1113.31,salesforce_co
2023-02-20,subscription_revenue,423.18,techco_llc
2023-02-27,cogs,-2327.21,
2023-02-27,marketing_expense,-5988.76,
2023-02-27,office_rent,-5200,
2023-02-27,salary_expense,-30071.38,
2023-02-27,software_expense,-2668.23,
2023-02-27,subscription_revenue,1203.8,acme_corp
2023-02-27,subscription_revenue,385.41,bigcorp_inc
2023-02-27,subscription_revenue,974.23,globaltech_corp
2023-02-27,subscription_revenue,304.04,hubspot_startup
2023-02-27,subscription_revenue,1563.68,ibm_venture
2023-02-27,subscription_revenue,1143.09,megasuite_llc
2023-02-27,subscription_revenue,1323.54,microsoft_co
2023-02-27,subscription_revenue,1084.44,salesforce_co
2023-02-27,subscription_revenue,417.98,techco_llc
2023-02-27,travel_expense,-496.0,
2023-03-06,cogs,-2319.65,
2023-03-06,marketing_expense,-5549.75,
2023-03-06,office_rent,-5200,
2023-03-06,professional_services,-1282.09,
2023-03-06,salary_expense,-29935.46,
2023-03-06,software_expense,-2747.15,
2023-03-06,subscription_revenue,1234.55,acme_corp
2023-03-06,subscription_revenue,381.49,bigcorp_inc
2023-03-06,subscription_revenue,348.31,datadog_startup
2023-03-06,subscription_revenue,1001.88,globaltech_corp
2023-03-06,subscription_revenue,310.8,hubspot_startup
2023-03-06,subscription_revenue,1609.29,ibm_venture
2023-03-06,subscription_revenue,1149.35,megasuite_llc
2023-03-06,subscription_revenue,1338.77,microsoft_co
2023-03-06,subscription_revenue,1102.56,salesforce_co
2023-03-06,subscription_revenue,418.13,techco_llc
2023-03-06,travel_expense,-773.24,
2023-03-13,cogs,-2373.76,
2023-03-13,marketing_expense,-6480.4,
2023-03-13,office_rent,-5200,
2023-03-13,salary_expense,-30530.93,
2023-03-13,software_expense,-2709.42,
2023-03-13,subscription_revenue,1218.84,acme_corp
2023-03-13,subscription_revenue,331.71,amplitude_inc
2023-03-13,subscription_revenue,387.2,bigcorp_inc
2023-03-13,subscription_revenue,343.75,datadog_startup
2023-03-13,subscription_revenue,1001.08,globaltech_corp
2023-03-13,subscription_revenue,316.83,hubspot_startup
2023-03-13,subscription_revenue,1611.23,ibm_venture
2023-03-13,subscription_revenue,1182.19,megasuite_llc
2023-03-13,subscription_revenue,1337.15,microsoft_co
2023-03-13,subscription_revenue,1127.55,salesforce_co
2023-03-13,subscription_revenue,427.55,techco_llc
2023-03-20,cogs,-2646.87,
2023-03-20,contractor_expense,-1204.96,
2023-03-20,marketing_expense,-5907.91,
2023-03-20,office_rent,-5200,
2023-03-20,salary_expense,-29785.78,
2023-03-20,software_expense,-2713.49,
2023-03-20,subscription_revenue,1216.03,acme_corp
2023-03-20,subscription_revenue,324.43,amplitude_inc
2023-03-20,subscription_revenue,385.24,bigcorp_inc
2023-03-20,subscription_revenue,355.62,datadog_startup
2023-03-20,subscription_revenue,970.91,globaltech_corp
2023-03-20,subscription_revenue,309.06,hubspot_startup
2023-03-20,subscription_revenue,1572.15,ibm_venture
2023-03-20,subscription_revenue,1167.35,megasuite_llc
2023-03-20,subscription_revenue,1355.01,microsoft_co
2023-03-20,subscription_revenue,295.8,mixpanel_startup
2023-03-20,subscription_revenue,1128.58,salesforce_co
2023-03-20,subscription_revenue,425.81,techco_llc
2023-03-27,cogs,-2722.4,
2023-03-27,marketing_expense,-16710.52,
2023-03-27,office_rent,-5200,
2023-03-27,salary_expense,-33367.57,
2023-03-27,software_expense,-2828.07,
2023-03-27,subscription_revenue,1223.45,acme_corp
2023-03-27,subscription_revenue,326.02,amplitude_inc
2023-03-27,subscription_revenue,381.52,bigcorp_inc
2023-03-27,subscription_revenue,346.58,datadog_startup
2023-03-27,subscription_revenue,978.49,globaltech_corp
2023-03-27,subscription_revenue,313.11,hubspot_startup
2023-03-27,subscription_revenue,1595.89,ibm_venture
2023-03-27,subscription_revenue,1158.68,megasuite_llc
2023-03-27,subscription_revenue,1309.22,microsoft_co
2023-03-27,subscription_revenue,292.29,mixpanel_startup
2023-03-27,subscription_revenue,375.61,posthog_llc
2023-03-27,subscription_revenue,1088.81,salesforce_co
2023-03-27,subscription_revenue,419.15,techco_llc
2023-03-27,tax_payment,-6000,
2023-03-27,travel_expense,-769.32,
2023-04-03,cogs,-2665.29,
2023-04-03,marketing_expense,-15300.87,
2023-04-03,office_rent,-5200,
2023-04-03,salary_expense,-36496.74,
2023-04-03,software_expense,-2770.42,
2023-04-03,subscription_revenue,1232.37,acme_corp
2023-04-03,subscription_revenue,331.82,amplitude_inc
2023-04-03,subscription_revenue,378.6,bigcorp_inc
2023-04-03,subscription_revenue,347.36,datadog_startup
2023-04-03,subscription_revenue,295.18,fullstory_llc
2023-04-03,subscription_revenue,996.53,globaltech_corp
2023-04-03,subscription_revenue,315.06,hubspot_startup
